date,description,payee,amount,channel
2024-05-23 09:00,Utilities,ISP Fiber,-212.50,ach
2024-05-24 09:00,Salary,ACME Manufacturing,2400.0,direct_deposit
2024-05-28 09:00,Groceries,Starbucks,-53.33,card
2024-05-29 09:00,Groceries,Whole Foods,-42.31,card
2024-05-30 09:00,Utilities,MobileOne,-203.93,ach
2024-05-31 09:00,Salary,ACME Manufacturing,2412.0,direct_deposit
2024-06-04 09:00,Groceries,Starbucks,-41.28,card
2024-06-05 09:00,Groceries,Whole Foods,-49.79,card
2024-06-06 09:00,Utilities,MobileOne,-161.49,ach
2024-06-07 09:00,Salary,ACME Manufacturing,2424.0,direct_deposit
2024-06-11 09:00,Groceries,Whole Foods,-53.32,card
2024-06-12 09:00,Groceries,Coffee Bean,-63.15,card
2024-06-13 09:00,Utilities,City Water,-77.59,ach
2024-06-14 09:00,Salary,ACME Manufacturing,2436.0,direct_deposit
2024-06-18 09:00,Groceries,Starbucks,-45.12,card
2024-06-19 09:00,Groceries,Trader Joe's,-45.04,card
2024-06-20 09:00,Utilities,City Power,-211.83,ach
2024-06-21 09:00,Salary,ACME Manufacturing,2400.0,direct_deposit
2024-06-25 09:00,Groceries,Starbucks,-58.06,card
2024-06-26 09:00,Groceries,Starbucks,-47.95,card
2024-06-27 09:00,Utilities,MobileOne,-83.77,ach
2024-06-28 09:00,Salary,ACME Manufacturing,2412.0,direct_deposit
2024-06-30 10:00,Wire,Meridian Escrow Ltd,-15000.00,wire
2024-06-30 11:00,Wire,Brightstone Trading,-12000.00,wire
2024-06-30 12:00,Cash,Rivendell Holdings,-25000.00,cash
